Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2017,JACK STECHER,BA,70422,MANAGERIAL ACCOUNTNG,A,10,20,50%,6.20,4.80,4.70,4.60,4.50,4.50,4.40,4.80,4.50,4.50
Spring,2017,TIM CUNNINGHAM,BA,70425,ENTRPRSHP CRTV INDSR,A,9,12,75%,5.00,3.56,2.67,3.33,3.33,3.56,3.56,3.89,3.33,3.11
Spring,2017,JINGHONG LIANG,BA,70427,MODERN BANKS,A,13,23,57%,9.58,5.00,4.69,4.77,4.92,5.00,4.92,5.00,4.85,4.62
Spring,2017,JOHN OBRIEN,BA,70429,ACCTNG FINANC INSTS,W,3,8,38%,6.00,5.00,5.00,5.00,4.67,5.00,5.00,5.00,5.00,5.00
Spring,2017,MILTON COFIELD,BA,70430,INTERNATNL MGMNT,A,10,25,40%,9.20,4.20,3.70,3.70,3.80,4.30,4.20,4.70,4.40,4.10
Spring,2017,LINDA ARGOTE,BA,70437,ORG LRNG & STRAT MGT,A,14,17,82%,5.00,4.64,3.93,4.21,4.21,4.54,4.43,4.79,4.15,4.00
Spring,2017,DAVID LAMONT,BA,70440,CORPORATE STRATEGY,A,21,38,55%,6.00,4.76,4.71,4.71,4.67,4.57,4.71,4.90,4.76,4.52
Spring,2017,SIDNEY THOMAS EMERSON,BA,70448,CEO PERSPECTIVE,W,9,22,41%,6.13,4.33,4.25,4.38,4.00,4.38,4.13,4.63,4.13,4.13
Spring,2017,AJIT SHARMA,BA,70451,MANGEMNT INFRMT SYST,A,38,77,49%,4.84,3.97,3.79,3.82,3.61,4.11,3.79,4.32,3.74,3.58
Spring,2017,TRIDAS MUKHOPADHYAY,BA,70451,MANGEMNT INFRMT SYST,W,22,42,52%,8.59,4.77,4.68,4.68,4.45,4.64,4.76,4.95,4.64,4.32
Spring,2017,WOLFGANG GATTERBAUER,BA,70455,MODRN DATA MANGEMNT,A,31,41,76%,8.43,4.39,4.23,4.37,3.94,4.39,4.23,4.52,4.06,4.16
Spring,2017,ZELEALEM YILMA,BA,70460,MATH MDLS FR CNSLTNG,W,1,5,20%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,TIMOTHY DERDENGER,BA,70465,TECH STRATEGY,A,2,7,29%,6.50,4.50,5.00,4.00,4.00,4.50,4.50,5.00,5.00,4.00
Spring,2017,JIAQI XU,BA,70471,SUPPLY CHAIN MGMT,A,9,20,45%,6.33,5.00,4.78,4.89,4.78,4.78,4.89,4.89,4.78,4.78
Spring,2017,MUSTAFA AKAN,BA,70471,SUPPLY CHAIN MGMT,W,6,8,75%,7.00,4.17,4.50,4.00,3.67,4.20,4.40,4.80,4.40,4.20
Spring,2017,LLOYD CORDER,BA,70480,INTERNTNL MARKETING,A,7,17,41%,6.29,4.86,4.71,4.71,5.00,4.86,4.57,4.86,4.71,4.57
Spring,2017,SRINIVASA PRAKHYA,BA,70482,PRICING STRTGY,W,5,11,45%,6.80,3.60,3.40,3.20,3.40,3.80,3.40,4.60,3.60,3.20
Spring,2017,MELISSA MURPHY,BA,70483,ADVRTS & MARKET COMM,A,12,16,75%,5.75,4.50,4.33,4.50,4.33,4.58,4.50,4.50,4.42,4.36
Spring,2017,ANISHA GHOSH,BA,70492,INVESTMENT ANALYSIS,A,24,48,50%,7.59,3.79,3.71,3.71,3.21,3.79,3.67,4.08,3.38,3.38
Spring,2017,WILLIAM WALLER,BA,70495,CORPORATE FINANCE,A,26,33,79%,11.76,4.31,3.96,3.88,3.88,4.08,3.73,4.54,3.85,3.77
Spring,2017,WILLIAM WALLER,BA,70495,CORPORATE FINANCE,B,24,34,71%,9.92,4.38,4.29,4.33,4.21,4.50,4.17,4.83,4.33,4.13
Spring,2017,MUHAMMAD FAROOQI,BA,70495,CORPORATE FINANCE,W,8,9,89%,7.14,4.88,5.00,5.00,4.88,5.00,5.00,5.00,4.75,4.75
Spring,2017,SERKAN AKGUC,BA,70496,ENTRP FIN:VLN & DEAL,W,6,7,86%,9.80,4.83,4.67,4.83,4.67,4.83,4.67,5.00,4.83,4.83
Spring,2017,JOHN OSTLUND,IA,46903,FINANCIAL CMPTNG III,I4,39,46,85%,8.29,4.92,4.72,4.77,4.82,4.64,4.74,4.87,4.69,4.51
Spring,2017,JOHN OSTLUND,IA,46903,FINANCIAL CMPTNG III,M4,44,53,83%,8.20,4.66,4.36,4.36,4.52,4.43,4.41,4.84,4.43,4.25
Spring,2017,CHAD SCHAFER,IA,46926,STA & MACHN LRNG I,I3,40,46,87%,10.32,4.50,4.52,4.65,4.44,4.51,4.59,4.64,4.49,4.51
Spring,2017,CHAD SCHAFER,IA,46926,STA & MACHN LRNG I,M3,49,53,92%,9.60,4.69,4.71,4.73,4.57,4.79,4.69,4.77,4.69,4.67
Spring,2017,CHAD SCHAFER,IA,46929,FIN TIME SERIES ANLY,I4,38,46,83%,7.16,4.26,4.34,4.45,4.18,4.37,4.42,4.61,4.32,4.29
Spring,2017,CHAD SCHAFER,IA,46929,FIN TIME SERIES ANLY,M4,43,55,78%,7.29,4.33,4.53,4.53,4.35,4.40,4.40,4.67,4.42,4.26
Spring,2017,JOHN LEHOCZKY,IA,46932,SIM METHD OPTN PRICE,I4,38,46,83%,13.57,4.92,4.95,4.89,4.87,4.89,4.92,4.95,4.89,4.92
Spring,2017,JOHN LEHOCZKY,IA,46932,SIM METHD OPTN PRICE,M4,46,57,81%,11.49,4.83,4.85,4.83,4.67,4.83,4.83,4.87,4.80,4.91
Spring,2017,GAUTAM IYER,IA,46944,STOCHASTC CALC FIN I,H3,43,48,90%,10.73,4.79,4.74,4.74,4.70,4.72,4.72,4.86,4.74,4.72
Spring,2017,GAUTAM IYER,IA,46944,STOCHASTC CALC FIN I,M3,54,57,95%,12.15,4.54,4.51,4.46,4.37,4.52,4.52,4.69,4.46,4.50
Spring,2017,STEVEN SHREVE,IA,46945,STOCHTC CALC FNC II,H4,39,47,83%,12.33,4.95,4.97,4.95,4.95,4.95,5.00,4.97,4.97,4.95
Spring,2017,STEVEN SHREVE,IA,46945,STOCHTC CALC FNC II,M4,48,57,84%,12.67,4.77,4.75,4.73,4.63,4.81,4.90,4.92,4.83,4.71
Spring,2017,RICK BRYANT,IA,46974,FIN PRDCTS & MRKTS,I3,40,45,89%,9.38,4.38,4.30,4.32,4.31,4.36,4.05,4.72,4.13,4.03
Spring,2017,RICK BRYANT,IA,46974,FIN PRDCTS & MRKTS,M3,51,54,94%,7.76,4.10,3.82,3.76,3.78,3.82,3.69,4.31,3.63,3.59
Spring,2017,ARIEL ZETLIN-JONES,IA,46975,MACROECON COMP FIN,I3,37,42,88%,8.81,4.86,4.89,4.86,4.73,4.86,4.86,4.92,4.86,4.78
Spring,2017,ARIEL ZETLIN-JONES,IA,46975,MACROECON COMP FIN,M3,46,48,96%,8.09,4.52,4.48,4.52,4.48,4.54,4.54,4.70,4.54,4.46
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,116,148,78%,7.83,4.45,4.31,4.27,4.1,4.35,4.29,4.71,4.18,4.14
Spring,2017,"VARGO, S.  (co-taught)",BA,70122,INTRO TO ACCOUNTING,3,43,51,84%,7.61,4.16,4.02,4.02,3.72,4.15,3.98,4.65,3.77,3.76
Spring,2017,"AKGUC, S.  (co-taught)",BA,70122,INTRO TO ACCOUNTING,3,43,51,84%,8.75,4.60,4.49,4.35,4.30,4.40,4.44,4.77,4.35,4.21
Spring,2017,"SIRBU, M.  (co-taught)",BA,70438,COMMERCLZN & INNOVTN,A,9,11,82%,5.67,3.78,3.67,3.78,3.44,3.63,3.75,4.25,3.63,4.00
Spring,2017,"IMAM, R.  (co-taught)",BA,70438,COMMERCLZN & INNOVTN,A,9,11,82%,5.75,5.00,4.63,4.75,4.50,4.88,4.63,4.75,4.75,4.63
Spring,2017,"OBRIEN, J.  (co-taught)",BA,70494,MRKTS: ANOM & EFCNCY,W,6,12,50%,8.50,5.00,4.83,4.83,4.83,5.00,5.00,5.00,5.00,5.00
Spring,2017,"FAROOQI, M.  (co-taught)",BA,70494,MRKTS: ANOM & EFCNCY,W,6,12,50%,8.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,24,24,100%,18.88,4.19,4.06,4.11,4.24,4.19,4.15,4.23,4.18,4.43
Spring,2017,"BONI, A.  (co-taught)",IA,45994,DESGN LEADNG BUSNS,A4,8,8,100%,20.63,4.75,4.38,4.50,4.88,4.75,4.63,5.00,5.00,5.00
Spring,2017,"CUNNINGHAM, T.  (co-taught)",IA,45994,DESGN LEADNG BUSNS,A4,8,8,100%,18.43,4.00,4.14,4.00,4.00,4.14,4.00,3.86,3.86,4.29
Spring,2017,"MAWHINNEY, D.  (co-taught)",IA,45994,DESGN LEADNG BUSNS,A4,8,8,100%,17.57,3.83,3.67,3.83,3.83,3.67,3.83,3.83,3.67,4.00
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2016,,,,Year of 2016,,4662,7213,65%,8,4.47,4.35,4.39,4.19,4.46,4.37,4.6,4.3,4.24
Summer,2016,NAM HO,BA,70122,INTRO TO ACCOUNTING,E,3,4,75%,11.00,4.33,4.67,4.67,3.33,4.67,5.00,5.00,4.67,5.00
Summer,2016,NAM HO,BA,70122,INTRO TO ACCOUNTING,U,6,10,60%,12.00,3.67,4.33,4.33,3.50,3.67,4.17,4.33,3.67,3.33
Summer,2016,JEREMY KARP,BA,70207,PROB & STAT BUS APPL,S,3,4,75%,17.00,5.00,5.00,5.00,5.00,5.00,4.67,5.00,4.67,4.33
Summer,2016,ERICA VANSANT,BA,70208,REGRESSION ANALYSIS,U,9,9,100%,14.56,4.78,4.78,4.78,4.89,4.78,4.89,4.89,4.78,4.56
Summer,2016,YING ZHANG,BA,70311,ORGNZTN BEHAVIOR,S,17,19,89%,9.06,4.41,4.06,4.35,4.18,4.24,4.35,4.82,4.24,4.12
Summer,2016,LEELA NAGESWARAN,BA,70371,OPERATIONS MGMT,S,13,14,93%,8.58,4.46,4.69,4.58,4.54,4.38,4.46,4.54,4.46,4.38
Summer,2016,DARREN DAUBERGER,IA,46900,MSCF PROG PREP,I6,33,39,85%,10.76,4.79,4.73,4.82,4.79,4.76,4.73,4.85,4.76,4.64
Summer,2016,DARREN DAUBERGER,IA,46900,MSCF PROG PREP,M6,41,49,84%,9.05,4.59,4.59,4.60,4.65,4.60,4.63,4.82,4.56,4.54
Summer,2016,WILLIAM HRUSA,IA,46910,MSCF MATH PREP,I6,26,31,84%,17.27,4.88,4.69,4.96,4.77,4.85,4.88,4.96,4.88,4.85
Summer,2016,WILLIAM HRUSA,IA,46910,MSCF MATH PREP,M6,38,46,83%,15.59,4.92,4.97,4.89,4.79,4.92,4.97,4.95,5.00,4.89
Spring,2016,DAVID RAMIREZ,BA,70101,INTRO BUSINESS MGMNT,A,22,47,47%,6.36,3.73,3.91,3.86,3.18,4.27,3.91,4.05,3.77,3.45
Spring,2016,DAVID LAMONT,BA,70101,INTRO BUSINESS MGMNT,B,26,54,48%,4.65,3.88,4.27,4.12,3.77,4.08,4.12,4.27,4.04,3.92
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,A,65,71,92%,6.33,4.45,3.98,4.31,3.86,4.32,4.26,4.54,4.12,3.85
Spring,2016,ROBERT MONROE,BA,70110,BUSINESS COMPUTING,B,37,45,82%,5.89,4.54,4.08,4.43,4.16,4.22,4.30,4.49,4.16,3.92
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,W,15,21,71%,8.64,4.13,4.27,4.40,4.00,4.13,4.00,4.93,3.93,3.60
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,X,15,18,83%,10.29,3.93,3.93,4.27,4.00,4.07,4.27,4.93,4.00,3.80
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,1,28,64,44%,5.11,4.68,4.86,4.86,4.57,4.68,4.71,4.79,4.71,4.57
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,2,38,66,58%,5.41,4.74,4.76,4.71,4.45,4.61,4.82,4.82,4.74,4.54
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,W,24,32,75%,9.26,4.58,4.54,4.67,4.58,4.75,4.63,4.96,4.46,4.46
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,X,20,29,69%,7.84,4.55,4.65,4.65,4.45,4.55,4.40,4.85,4.30,4.25
Spring,2016,ANTHONY STANTON,BA,70160,GRAPHIC MEDIA MGMT,A,30,57,53%,5.40,4.77,4.43,4.50,4.33,4.60,4.47,4.67,4.37,4.43
Spring,2016,ANTHONY STANTON,BA,70196,PUBLSHNG ON THE WWW,1,19,36,53%,6.17,4.63,4.74,4.68,4.53,4.32,4.32,4.42,4.37,4.37
Spring,2016,MILTON COFIELD,BA,70201,PROFSSNL & SRVC PROJ,A,20,46,43%,4.68,3.10,3.40,3.65,3.10,3.40,3.40,3.80,3.20,3.05
Spring,2016,XIZHEN CAI,BA,70207,PROB & STAT BUS APPL,A,47,84,56%,7.33,3.89,4.13,4.06,3.51,3.66,3.74,4.32,3.54,3.66
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,1,26,60,43%,7.44,3.73,3.92,3.96,3.50,3.73,3.73,4.23,3.38,3.42
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,2,23,49,47%,6.57,3.74,3.70,3.65,3.59,3.96,3.65,4.39,3.48,3.30
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,W,14,16,88%,11.23,4.57,4.50,4.50,4.07,4.36,4.71,5.00,4.50,4.29
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,X,21,21,100%,11.20,4.76,4.86,4.81,4.33,4.67,4.86,4.95,4.76,4.48
Spring,2016,MARK FICHMAN,BA,70311,ORGNZTN BEHAVIOR,A,20,36,56%,6.65,3.05,3.30,3.25,2.85,3.40,3.15,3.25,2.85,2.75
Spring,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,B,16,38,42%,5.94,3.50,3.19,3.31,2.63,3.31,3.81,4.25,3.38,2.94
Spring,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,C,21,55,38%,6.95,3.76,3.19,3.19,2.81,3.57,3.57,4.33,3.33,3.33
Spring,2016,BENJAMIN COLLIER,BA,70311,ORGNZTN BEHAVIOR,W,21,24,88%,7.53,3.90,4.14,4.33,3.57,4.19,4.33,4.76,3.95,4.00
Spring,2016,LILY MORSE,BA,70321,NEGOTIATN CNFLCT RES,A,18,22,82%,6.83,4.61,4.78,4.67,4.44,4.72,4.78,4.61,4.56,4.67
Spring,2016,TAE WAN KIM,BA,70332,BUS SOCIETY & ETHICS,A,51,60,85%,5.54,4.82,4.73,4.76,4.69,4.82,4.71,4.57,4.67,4.67
Spring,2016,TAE WAN KIM,BA,70332,BUS SOCIETY & ETHICS,B,50,56,89%,4.94,4.92,4.74,4.78,4.82,4.92,4.68,4.88,4.74,4.66
