Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,                            ,                             ,                              ,                               ,                                ,                                 ,                                  ,                                   ,                                    
Spring,2017,GE YANG,BMD,42672,FUND BME IMAGE,A,8,12,67%,12.13,5.00,4.88,5.00,4.88,4.88,4.88,4.88,4.88,5.00,,,,,,,,,
Spring,2017,PHIL CAMPBELL,BMD,42702,ADV PHYSIOLOGY,A,12,14,86%,8.00,4.58,4.83,4.83,4.42,4.75,4.75,4.83,4.75,4.67,,,,,,,,,
Spring,2017,BOYLE CHENG,BMD,42744,MEDICAL DEVICES,A,8,19,42%,8.38,4.25,4.38,4.29,3.71,4.29,4.29,4.86,4.57,4.43,,,,,,,,,
Spring,2017,JAMES ANTAKI,BMD,42775,GRAD BME DESIGN,A,2,9,22%,11.00,5.00,3.50,4.50,5.00,5.00,4.50,5.00,5.00,5.00,,,,,,,,,
Spring,2017,JAMES KILBURG,CEE,12201,GEOLOGY,A,23,51,45%,5.27,4.61,4.61,4.57,4.30,4.39,4.57,4.74,4.48,4.43,,,,,,,,,
Spring,2017,SARAH CHRISTIAN,CEE,12216,ST: RESEARCH SKILLS,A,5,7,71%,3.50,4.80,4.80,4.80,5.00,4.60,4.60,5.00,5.00,4.80,,,,,,,,,
Spring,2017,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,30,45,67%,4.25,4.67,4.77,4.80,4.53,4.63,4.83,4.76,4.70,4.80,,,,,,,,,
Spring,2017,JAMES THOMPSON,CEE,12631,STRUCTURAL DESIGN,A,9,15,60%,11.67,4.89,4.56,4.67,4.56,4.89,4.89,4.56,4.67,4.78,,,,,,,,,
Spring,2017,THOMAS LEECH,CEE,12636,GEOTECHNICAL ENGINR,A,7,12,58%,8.00,4.14,3.57,3.86,3.29,4.14,3.14,4.00,3.00,3.17,,,,,,,,,
Spring,2017,SARAH CHRISTIAN,CEE,12638,ST BEHAV STRUCT SYS,A,6,6,100%,9.00,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,,,,,,,,,
Spring,2017,PETER ADAMS,CEE,12651,AIR QUALITY ENGIN,A,4,6,67%,9.50,4.50,4.25,3.75,3.75,4.50,4.50,4.75,4.50,4.50,,,,,,,,,
Spring,2017,JARED COHON,CEE,12657,WTR RESOURCE SYS ENG,A,14,22,64%,8.21,4.86,4.43,4.79,4.43,4.86,4.86,4.86,4.79,4.64,,,,,,,,,
Spring,2017,AMIT ACHARYA,CEE,12686,ST: COMP MAT MOD STR,A,6,6,100%,7.50,5.00,4.67,4.67,4.67,5.00,4.67,5.00,4.83,4.67,,,,,,,,,
Spring,2017,DAVID DZOMBAK,CEE,12690,INDEPENDENT STUDY,B,3,5,60%,11.00,5.00,4.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,GWEN DIPIETRO,CEE,12714,ENV LFE CYC ASSMNT,A,23,31,74%,14.50,4.27,4.22,4.17,3.70,4.13,3.74,4.78,3.74,3.87,,,,,,,,,
Spring,2017,ATHANASIOS KARAMALIDIS,CEE,12718,EESS PROJECT,A,16,21,76%,8.40,4.44,4.38,4.25,4.44,4.50,4.19,4.81,4.19,4.19,,,,,,,,,
Spring,2017,JEANNE VANBRIESEN,CEE,12724,BIOLGL WASTWTR MANGM,A,8,11,73%,13.00,5.00,4.75,4.88,4.88,5.00,5.00,4.88,4.88,4.88,,,,,,,,,
Spring,2017,GREGORY LOWRY,CEE,12725,FTE TRNS PHSCHM PROC,A,17,24,71%,14.65,4.82,4.82,4.94,4.71,4.94,4.94,4.88,4.88,4.82,,,,,,,,,
Spring,2017,MITCHELL SMALL,CEE,12726,MATH MDL ENV QUA SY,A,15,18,83%,10.73,4.60,4.53,4.40,4.47,4.47,4.40,4.73,4.27,4.21,,,,,,,,,
Spring,2017,RICHARD WICE,CEE,12728,REMEDTN  ENG,A,13,23,57%,7.08,4.00,4.00,3.85,3.46,4.31,3.77,4.31,3.85,3.85,,,,,,,,,
Spring,2017,MATTEO POZZI,CEE,12735,SP TPC URBN SYS MODG,A,18,20,90%,10.67,4.83,4.94,4.94,4.67,4.94,4.89,5.00,4.83,4.83,,,,,,,,,
Spring,2017,EDEN FISHER,CEE,12737,ST: INN BLT NAT ENV,A,6,6,100%,9.00,4.83,4.83,4.67,4.83,4.83,4.83,4.83,4.83,4.50,,,,,,,,,
Spring,2017,SUSAN FINGER,CEE,12745,AIS SYSTEMS PROJECT,A,13,17,76%,11.08,4.69,4.69,4.69,4.85,4.85,4.77,4.77,4.77,4.69,,,,,,,,,
Spring,2017,CONSTANTINOS SAMARAS,CEE,12749,ST: CLIM CHGE ADAPT,A4,40,45,89%,6.38,4.75,4.75,4.68,4.52,4.80,4.70,4.75,4.62,4.65,,,,,,,,,
Spring,2017,PETER ADAMS,CEE,12751,AIR QUALTY ENGINEERG,A,8,12,67%,11.86,4.75,5.00,4.75,4.63,4.75,4.88,4.88,4.88,4.88,,,,,,,,,
Spring,2017,JACOBO BIELAK,CEE,12757,VIBRATION,A,5,7,71%,13.60,5.00,4.80,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,HAE YOUNG NOH,CEE,12761,ST SENS DATA MINING,A,28,38,74%,10.15,4.71,4.54,4.54,4.54,4.50,4.46,4.68,4.43,4.32,,,,,,,,,
Spring,2017,ALEXANDRE JACQUILLAT,CEE,12768,DEC ANA BUS POL,A,13,14,93%,15.69,4.92,4.85,4.85,4.85,4.92,4.85,4.92,4.85,4.85,,,,,,,,,
Spring,2017,KELVIN GREGORY,CEE,12794,GRADUATE SEMINAR,A,10,29,34%,3.50,3.90,3.80,3.90,3.80,3.90,4.00,4.40,4.10,3.90,,,,,,,,,
Spring,2017,ZHEN QIAN,CEE,12794,GRADUATE SEMINAR,B,14,19,74%,3.15,4.79,4.86,4.86,4.71,4.64,4.71,4.93,4.86,4.71,,,,,,,,,
Spring,2017,KAUSHIK DAYAL,CEE,12794,GRADUATE SEMINAR,C,7,10,70%,2.00,4.29,4.43,4.43,4.29,4.43,4.43,4.29,4.17,4.29,,,,,,,,,
Spring,2017,DAVID DZOMBAK,CEE,12794,GRADUATE SEMINAR,D,77,112,69%,2.65,4.51,4.50,4.47,4.39,4.43,4.45,4.54,4.49,4.38,,,,,,,,,
Spring,2017,SUSANA STEPPAN,CHE,06100,INTRO TO CHEM ENGR,1,14,24,58%,8.64,3.93,3.93,3.86,3.43,3.64,3.71,4.36,3.57,3.36,,,,,,,,,
Spring,2017,MICHAEL DOMACH,CHE,06261,FLUID MECHANICS,A,31,70,44%,7.81,3.84,2.94,3.13,3.00,3.97,3.06,4.32,2.97,3.10,,,,,,,,,
Spring,2017,MYUNG JHON,CHE,06262,MATH MTHDS CHEM ENGR,A,32,68,47%,11.58,3.63,4.28,4.28,3.47,4.16,3.97,3.88,3.75,3.91,,,,,,,,,
Spring,2017,DENNIS PRIEVE,CHE,06361,UNIT OP CHEMICAL ENG,A,27,76,36%,10.00,3.44,3.41,3.52,3.08,3.69,3.54,3.35,3.15,3.00,,,,,,,,,
Spring,2017,MICHAEL DOMACH,CHE,06363,TRANSPORT PROCSS LAB,1,26,75,35%,8.35,3.08,2.69,2.77,3.19,2.92,2.81,4.04,2.92,2.76,,,,,,,,,
Spring,2017,JOHN KITCHIN,CHE,06364,CHEMCL REACTION ENGN,A,25,76,33%,10.04,4.20,3.84,3.84,3.80,4.12,4.00,4.32,3.88,3.72,,,,,,,,,
Spring,2017,CHRYSANTHOS GOUNARIS,CHE,06462,OPTM MDG & ALGRTHMS,A3,35,72,49%,7.40,4.63,4.54,4.60,4.00,4.46,4.34,4.69,4.49,4.40,,,,,,,,,
Spring,2017,CHRYSANTHOS GOUNARIS,CHE,06463,CHEMICAL PRDT DESIGN,A4,36,71,51%,8.19,4.22,4.08,4.06,4.19,4.08,4.06,4.11,4.11,3.86,,,,,,,,,
Spring,2017,B ERIK YDSTIE,CHE,06464,CHML ENG PROCESS CNT,A,30,61,49%,7.89,3.47,2.60,2.60,2.60,3.40,2.21,4.07,2.40,2.30,,,,,,,,,
Spring,2017,ROSEMARY FROLLINI,CHE,06466,EXPERMTL POLYMER SCI,A,2,4,50%,9.50,4.00,4.50,3.50,3.50,3.50,4.00,4.50,4.50,4.50,,,,,,,,,
Spring,2017,ADITYA KHAIR,CHE,06607,PHYS CHEM COLL SURF,A,27,41,66%,8.33,4.33,4.33,4.37,4.26,4.48,4.41,4.70,4.37,4.33,,,,,,,,,
Spring,2017,NIKOLAOS SAHINIDIS,CHE,06611,SPEC TPCS: CS IN CHE,A,14,18,78%,9.07,4.57,4.57,4.64,4.43,4.64,4.64,4.93,4.50,4.43,,,,,,,,,
Spring,2017,PAUL SIDES,CHE,06663,ANLY & MDG TRNSP PHN,A,35,52,67%,10.68,3.86,3.77,3.80,3.60,3.83,3.71,4.09,3.63,3.51,,,,,,,,,
Spring,2017,MARK DAICHENDT,CHE,06665,PROCESS SYSTEMS MDLG,A,36,49,73%,11.83,3.31,3.36,3.39,3.08,3.25,2.89,3.47,2.89,2.89,,,,,,,,,
Spring,2017,ANDREW GELLMAN,CHE,06702,ADVANCED KINETICS,A,7,11,64%,8.00,4.43,4.57,4.57,3.67,4.43,4.57,4.86,4.29,4.29,,,,,,,,,
Spring,2017,SHELLEY ANNA,CHE,06704,ADV HEAT MASS TRANS,A,8,8,100%,11.43,4.50,4.13,4.25,4.38,4.38,3.88,4.63,4.38,4.13,,,,,,,,,
Spring,2017,IGNACIO GROSSMANN,CHE,06720,ADV PROC SYS ENGIN,A,13,17,76%,15.25,4.62,4.92,4.85,4.38,4.85,4.69,4.62,4.62,4.69,,,,,,,,,
Spring,2017,ANNETTE JACOBSON,CHE,06802,CLDS PLYM SURF LB II,A,1,4,25%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,ANNETTE JACOBSON,CHE,06802,CLDS PLYM SURF LB II,B,8,10,80%,13.00,4.38,4.13,4.25,3.75,4.38,4.38,4.63,4.38,3.88,,,,,,,,,
Spring,2017,SUSAN FINGER,CIT,39245,RAPID PROTOTYPE DSGN,A,19,30,63%,7.33,4.89,3.89,4.32,4.42,4.63,4.42,4.89,4.68,4.68,,,,,,,,,
Spring,2017,JEFFERY HANSEN,CIT,39606,ENGINEERING DSGN PRJ,A,3,3,100%,11.00,5.00,4.67,5.00,5.00,5.00,5.00,5.00,4.67,5.00,,,,,,,,,
Spring,2017,CONSTANTINOS SAMARAS,CIT,39611,ENRY DEMD & UTILZTN,A3,42,43,98%,6.80,4.69,4.52,4.39,4.45,4.62,4.50,4.71,4.55,4.45,,,,,,,,,
Spring,2017,JAY WHITACRE,CIT,39612,ENGY POLICY & ECONMC,A4,30,35,86%,10.04,3.53,3.47,3.33,3.23,4.03,3.57,4.30,3.57,3.47,,,,,,,,,
Spring,2017,DAVID LANDIS,CIT,39660,ESTP PROJECT,A,10,12,83%,9.80,4.40,4.50,4.50,4.44,4.60,4.50,4.60,4.50,4.50,,,,,,,,,
Spring,2017,ANNETTE JACOBSON,CIT,39802,COL POLY SUR LAB II,A,2,2,100%,12.50,5.00,5.00,5.00,4.00,4.50,4.00,5.00,4.50,4.50,,,,,,,,,
Spring,2017,THOMAS SULLIVAN,ECE,18100,INTRO ELEC COMP ENG,1,29,61,48%,10.33,4.32,4.17,4.14,3.83,4.59,4.07,4.72,4.10,4.07,,,,,,,,,
Spring,2017,JIAN-GANG ZHU,ECE,18310,FUND SEMICONDTOR DEV,1,12,16,75%,8.82,4.58,4.42,4.50,4.17,4.58,4.42,4.75,4.42,4.42,,,,,,,,,
Spring,2017,JEYANANDH PARAMESH,ECE,18320,MICROELECTC CURCUITS,1,30,42,71%,11.20,4.10,4.00,4.03,3.70,4.27,4.20,4.20,4.10,4.00,,,,,,,,,
Spring,2017,PRANAB NAG,ECE,18340,DIGITAL COMPUTATION,TA,1,7,14%,11.00,4.00,3.00,2.00,3.00,2.00,4.00,4.00,4.00,1.00,,,,,,,,,
Spring,2017,SWARUN KUMAR SURESH KUMAR,ECE,18345,INTR TELECOM NETWRKS,1,4,5,80%,8.75,4.50,3.75,4.25,3.75,4.25,3.25,4.50,3.75,3.25,,,,,,,,,
Spring,2017,MARTIN CARLISLE,ECE,18349,INTRO EMBEDDED SYS,1,38,63,60%,14.08,4.18,4.13,3.97,3.79,4.18,3.87,4.11,3.89,4.00,,,,,,,,,
Spring,2017,SHAWN KELLY,ECE,18412,NEURAL TECH: S & S,1,4,5,80%,10.25,4.75,4.50,5.00,4.67,4.50,4.75,4.75,4.50,4.50,,,,,,,,,
Spring,2017,JOVAN ILIC,ECE,18418,ELEC ENERGY PROCESS,1,3,3,100%,5.00,5.00,4.00,3.33,4.00,4.67,3.67,4.67,4.00,3.67,,,,,,,,,
Spring,2017,JAMES HOE,ECE,18447,INTRO COMPUTER ARCH,1,21,42,50%,14.90,4.86,4.71,4.76,4.62,4.76,4.62,4.81,4.67,4.76,,,,,,,,,
Spring,2017,PETER STEENKISTE,ECE,18452,WIRELESS NET & APP,1,1,2,50%,8.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,VIJAYAKUMAR BHAGAVATULA,ECE,18491,FNDML SIGNL PRCSNG,1,51,66,77%,11.12,4.53,4.51,4.45,4.40,4.45,4.53,4.59,4.29,4.25,,,,,,,,,
Spring,2017,TAMAL MUKHERJEE,ECE,18510,SENSOR SYSTEMS DESGN,1,7,13,54%,11.57,4.57,4.14,4.14,4.29,4.14,4.14,4.29,4.43,3.86,,,,,,,,,
Spring,2017,ANTHONY ROWE,ECE,18549,EMBEDDED SYSTMS DESN,A,39,92,42%,11.87,4.23,3.77,4.16,3.76,4.39,4.47,4.47,4.16,4.08,,,,,,,,,
Spring,2017,JOHN DOLAN,ECE,18578,MECHATRONIC DESIGN,1,11,19,58%,14.73,4.45,4.55,4.55,4.27,4.45,4.36,4.91,4.45,4.18,,,,,,,,,
Spring,2017,EDWARD ENGLER,ECE,18601,ENTRPRSHP INNV TCHNL,A,12,21,57%,10.50,4.92,4.50,4.50,5.00,4.75,4.58,4.92,4.83,4.75,,,,,,,,,
Spring,2017,SHAWN KELLY,ECE,18612,NEURAL TECH: S & S,1,10,10,100%,12.60,4.80,4.80,4.80,4.70,4.90,4.90,4.90,4.80,4.80,,,,,,,,,
Spring,2017,GIANLUCA PIAZZA,ECE,18615,MICRO NANO SYS FAB,1,8,13,62%,10.14,4.75,4.63,4.75,4.38,4.75,4.63,4.75,4.50,4.57,,,,,,,,,
Spring,2017,KAI WANG,ECE,18615,MICRO NANO SYS FAB,GZ,3,3,100%,14.33,5.00,5.00,5.00,5.00,4.67,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,ANDRZEJ STROJWAS,ECE,18625,ULSI MOBILE PLATFORM,A,10,12,83%,8.60,4.70,4.70,4.70,4.90,4.90,4.70,4.90,4.70,4.70,,,,,,,,,
Spring,2017,TIMOTHY BROWN,ECE,18631,INTR INFO SECURITY,RW,15,18,83%,15.67,4.47,4.47,4.47,4.67,4.53,4.40,4.80,4.40,4.40,,,,,,,,,
Spring,2017,KENNETH MAI,ECE,18632,INTO HARDWARE SECUR,A,7,12,58%,8.00,3.71,2.71,3.86,3.29,3.86,4.43,4.43,4.00,3.71,,,,,,,,,
Spring,2017,PATRICK TAGUE,ECE,18637,WIRELESS NTWK SECRTY,SV,3,3,100%,10.00,5.00,5.00,5.00,4.67,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,ROBERT IANNUCCI,ECE,18647,CONNT EMBD SYS ARCH,SV,15,19,79%,20.00,4.93,4.67,4.73,4.87,4.87,4.93,4.80,4.93,4.80,,,,,,,,,
Spring,2017,JIA ZHANG,ECE,18653,SOFTWARE ARC AND DES,SV,32,38,84%,13.50,4.59,4.34,4.47,4.31,4.50,4.44,4.63,4.28,4.34,,,,,,,,,
Spring,2017,JIA ZHANG,ECE,18655,SVC ORIENTED COMP,SV,31,37,84%,13.94,4.61,4.42,4.58,4.39,4.52,4.42,4.77,4.40,4.26,,,,,,,,,
Spring,2017,HAKAN ERDOGMUS,ECE,18657,DEC ANAL ENGR ECO,SV,29,39,74%,11.61,4.52,4.28,4.17,4.34,4.17,4.28,4.38,4.24,4.03,,,,,,,,,
Spring,2017,CECILE PERAIRE,ECE,18659,SFTWR ENG METHODS,SV,17,19,89%,13.19,4.88,4.65,4.82,4.82,4.76,4.71,4.88,4.71,4.47,,,,,,,,,
Spring,2017,LINDA MOYA,ECE,18690,INTRO TO NEURO FOR E,A,16,28,57%,8.80,4.19,4.19,4.38,3.63,4.00,3.88,4.50,3.94,3.94,,,,,,,,,
Spring,2017,BYRON YU,ECE,18698,NEURAL SIGNL PROCSNG,A,23,28,82%,11.83,4.78,4.74,4.78,4.61,4.78,4.83,4.91,4.87,4.83,,,,,,,,,
Spring,2017,NISHA SHANMUGARAJ,ECE,18701,TECH WRITING LF,A3,14,18,78%,5.46,4.93,4.71,4.79,4.86,4.77,4.79,4.86,4.93,4.57,,,,,,,,,
Spring,2017,NISHA SHANMUGARAJ,ECE,18702,TECH WRITING:  GF,A4,7,7,100%,8.00,5.00,4.86,5.00,5.00,4.86,4.86,5.00,5.00,4.86,,,,,,,,,
Spring,2017,L. CARLEY,ECE,18723,RFIC DESGN IMPLEMENT,A,12,12,100%,12.36,4.58,4.42,4.58,4.50,4.58,4.67,4.92,4.67,4.67,,,,,,,,,
Spring,2017,VYAS SEKAR,ECE,18731,NETWORK SECURITY,A,28,32,88%,12.41,4.39,4.46,4.39,4.14,4.46,4.37,4.46,4.32,4.43,,,,,,,,,
Spring,2017,VYAS SEKAR,ECE,18731,NETWORK SECURITY,SV,5,5,100%,13.40,4.60,4.40,4.20,4.40,4.40,4.40,4.60,4.40,4.60,,,,,,,,,
Spring,2017,LJUDEVIT BAUER,ECE,18732,SECURE SOFTWR SYSTMS,A,35,43,81%,12.57,4.20,4.37,4.29,3.74,4.17,4.17,4.60,3.97,3.83,,,,,,,,,
Spring,2017,LJUDEVIT BAUER,ECE,18732,SECURE SOFTWR SYSTMS,SV,8,11,73%,14.25,4.63,4.75,4.63,4.38,4.63,4.38,4.88,4.50,4.50,,,,,,,,,
Spring,2017,ANUPAM DATTA,ECE,18733,APPLIED CRYPTOGRAPHY,A,19,25,76%,14.11,4.11,4.21,4.32,4.16,4.37,4.37,4.74,4.21,4.05,,,,,,,,,
Spring,2017,ANUPAM DATTA,ECE,18733,APPLIED CRYPTOGRAPHY,SV,9,11,82%,17.11,4.78,4.67,4.67,4.44,4.67,4.67,5.00,4.78,4.67,,,,,,,,,
Spring,2017,VIRGIL GLIGOR,ECE,18739,SP TPCS IN SECURITY,N,3,3,100%,10.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,BRANDON LUCIA,ECE,18742,COMP ARCH & SYSTEMS,A,13,18,72%,12.85,4.77,4.08,4.69,4.54,5.00,4.77,4.85,4.69,4.62,,,,,,,,,
Spring,2017,RAGUNATHAN RAJKUMAR,ECE,18748,WIRELSS SENSOR NTWKS,A,22,27,81%,11.85,4.00,4.23,4.18,3.77,4.18,3.76,4.45,3.91,3.95,,,,,,,,,
Spring,2017,PETER STEENKISTE,ECE,18750,WIRELESS NET & APP,1,3,7,43%,8.00,4.67,5.00,4.67,4.33,4.67,4.33,4.33,4.33,4.33,,,,,,,,,
Spring,2017,OSMAN YAGAN,ECE,18751,APPL STOCH PROCESS,A,15,17,88%,12.40,4.73,4.80,4.67,4.71,4.73,4.87,4.80,4.87,4.60,,,,,,,,,
Spring,2017,OSMAN YAGAN,ECE,18751,APPL STOCH PROCESS,SV,7,7,100%,15.83,4.71,4.43,4.43,4.43,4.57,4.71,5.00,4.86,4.71,,,,,,,,,
Spring,2017,ROHIT NEGI,ECE,18752,ESTIM DETECT IDENT,A,9,10,90%,11.00,4.67,4.67,4.56,4.11,4.44,4.78,4.89,4.44,4.56,,,,,,,,,
Spring,2017,HYONG KIM,ECE,18757,NTWRK MGMT & CONTROL,A,2,6,33%,17.50,5.00,4.50,4.50,5.00,4.50,4.50,4.50,5.00,5.00,,,,,,,,,
Spring,2017,OZAN TONGUZ,ECE,18759,WIRELESS NETWORKS,A,11,16,69%,7.45,3.82,3.82,3.82,3.36,4.27,3.82,3.73,3.73,3.82,,,,,,,,,
Spring,2017,AMINATA GARBA,ECE,18759,WIRELESS NETWORKS,RW,5,7,71%,18.00,5.00,4.80,5.00,5.00,5.00,4.80,5.00,5.00,5.00,,,,,,,,,
Spring,2017,KOUSHIL SREENATH,ECE,18776,NON LINEAR CONTROL,A,7,7,100%,8.86,5.00,4.86,4.71,4.43,4.57,4.43,4.86,4.29,4.14,,,,,,,,,
Spring,2017,ARLENE COLE-RHODES,ECE,18793,IMAGE & VIDO PROCNG,RW,2,2,100%,15.50,5.00,5.00,5.00,5.00,4.50,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2017,ELIAS TOWE,ECE,18817,FUND SEMICOND NANOST,A,9,11,82%,15.67,4.89,4.89,4.67,4.56,4.89,4.89,4.78,4.67,4.67,,,,,,,,,
Spring,2017,WILLIAM NACE,ECE,18842,DISTRIBUTED SYSTEMS,TA,8,8,100%,16.50,4.75,4.63,4.88,4.63,4.88,4.75,4.88,4.75,4.63,,,,,,,,,
Spring,2017,WILLIAM NACE,ECE,18842,DISTRIBUTED SYSTEMS,TB,5,7,71%,14.60,4.60,4.60,4.40,3.60,4.20,4.20,4.80,4.20,4.20,,,,,,,,,
Spring,2017,PEI ZHANG,ECE,18843,MOBLE PERVASIVE COMP,SV,11,11,100%,11.00,4.27,4.00,4.00,4.00,4.00,4.09,4.45,4.18,4.00,,,,,,,,,
