Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,1 : Project 1. Draw on Skills,2: Interest in student learning,3: Explain course requirements,3 : Project 2. Develop skills,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,6 : Project 3. Demand on Time and Attn,7: Project 4. External Review Committee helpfulness,7 : Explains subject matter,8: Show respect for students,8 : Project 5. Faculty Mgmt Satisfaction,9: Project 6. Group Worked Smoothly,9 : Overall teaching,10: Overall course,10 : Project 7. Effective learning experience,11: Project 8. Project Size,12: Project 9. General Rating,14: Proj Instr 1. Motivation,15: Proj Instr 2. Guidance,16: Proj Instr 3. Knows next steps,17: Proj Instr 4. Instructor availability,18: Proj Instr 5. Overall Lead Effectiveness
Summer,2017,KRISTEN KURLAND,HC,94802,GEOGRPHC INFO SYSTEM,Z,16,22,73%,13.19,,4.94,4.94,,4.88,4.81,4.88,,,4.81,4.94,,,4.94,4.88,,,,,,,,
Summer,2017,TIMOTHY ZAK,HC,94810,INT SUP CHN MNG & SY,A5,10,12,83%,10.70,,4.80,4.70,,4.60,4.50,4.80,,,4.50,4.90,,,4.50,4.60,,,,,,,,
Summer,2017,TIMOTHY ZAK,HC,94811,STRATEGY DEVELOPMENT,Z5,21,31,68%,9.70,,3.95,3.76,,4.10,3.19,4.10,,,4.10,4.25,,,4.10,3.86,,,,,,,,
Summer,2017,CANZATA CASTLEBERRY-SINGLETON,HC,94821,DVSTY MNGMT INTG LDS,A5,6,11,55%,5.50,,4.00,3.50,,3.50,3.17,4.50,,,3.83,4.00,,,3.83,3.50,,,,,,,,
Summer,2017,MATTHEW HANNIGAN,HC,94824,CRTG RESLTS ORNT PRG,A6,10,14,71%,7.67,,4.50,4.70,,4.70,4.30,4.67,,,4.50,4.90,,,4.40,4.70,,,,,,,,
Summer,2017,JARRED LAZEAR,HC,94846,COACH TRN & EMP DEV,A5,4,6,67%,8.00,,4.75,3.75,,4.25,4.25,4.25,,,4.25,4.75,,,4.50,4.25,,,,,,,,
Summer,2017,SUMIT CHOWDHURY,HC,94861,SMART CITY,A6,17,20,85%,13.94,,4.06,3.06,,3.47,3.06,4.47,,,4.12,4.35,,,3.76,3.76,,,,,,,,
Summer,2017,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,A,21,27,78%,13.90,,4.48,4.71,,4.86,4.48,4.67,,,4.81,4.52,,,4.90,4.81,,,,,,,,
Summer,2017,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,B,25,31,81%,13.05,,4.54,4.68,,4.72,4.44,4.76,,,4.76,4.64,,,4.80,4.64,,,,,,,,
Summer,2017,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,C,23,27,85%,12.27,,4.48,4.61,,4.61,4.26,4.43,,,4.74,4.52,,,4.52,4.48,,,,,,,,
Summer,2017,SAKIR YUCEL,ISM,95705,TELECOMMNCTNS MNGMNT,Z,16,23,70%,11.79,,4.88,4.81,,4.69,4.94,4.88,,,4.88,4.94,,,4.69,4.69,,,,,,,,
Summer,2017,VERONICA MAROTTA,ISM,95710,ECONOMIC ANALYSIS,Z6,14,23,61%,9.71,,3.86,4.14,,4.29,4.07,3.93,,,3.93,4.71,,,4.14,3.86,,,,,,,,
Summer,2017,KAREN BIGRIGG,ISM,95712,OBJ ORIENT PRG JAVA,A,32,36,89%,12.75,,3.41,3.38,,3.34,3.06,3.28,,,3.13,4.25,,,3.13,3.25,,,,,,,,
Summer,2017,KAREN BIGRIGG,ISM,95712,OBJ ORIENT PRG JAVA,B,28,37,76%,15.15,,2.86,2.89,,2.86,2.56,2.86,,,2.43,3.75,,,2.46,2.79,,,,,,,,
Summer,2017,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,A5,33,36,92%,8.38,,4.30,4.61,,4.56,4.12,4.52,,,4.45,4.72,,,4.42,4.33,,,,,,,,
Summer,2017,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,B5,32,37,86%,9.50,,4.44,4.66,,4.63,4.44,4.66,,,4.63,4.72,,,4.59,4.38,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,A6,10,11,91%,8.60,,4.40,4.30,,4.40,4.40,4.50,,,4.50,4.60,,,4.40,4.50,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,B6,10,12,83%,9.00,,4.40,4.50,,4.40,4.70,4.50,,,4.50,4.40,,,4.70,4.60,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,C6,11,14,79%,10.82,,4.09,3.91,,4.18,4.36,4.18,,,4.18,4.18,,,4.09,3.64,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,D6,13,13,100%,8.83,,4.62,4.62,,4.62,4.69,4.69,,,4.62,4.69,,,4.69,4.77,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,E6,10,13,77%,5.67,,4.20,4.40,,4.50,4.50,4.50,,,4.60,4.30,,,4.33,4.20,,,,,,,,
Summer,2017,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,F6,11,13,85%,8.82,,4.82,4.73,,4.82,4.82,4.73,,,4.64,4.82,,,4.82,4.55,,,,,,,,
Summer,2017,RIAZ ESMAIL ZADEH,ISM,95730,E-BUS TECH & MGMT,K,26,35,74%,13.20,,4.31,4.19,,4.12,3.96,4.20,,,4.08,4.31,,,4.12,3.88,,,,,,,,
Summer,2017,MICHAEL MCCARTHY,ISM,95733,INTERNET TCHNOLOGIES,K5,25,31,81%,13.96,,4.16,4.24,,4.25,3.96,4.16,,,4.12,4.72,,,3.96,4.08,,,,,,,,
Summer,2017,DANIEL COSTA,ISM,95737,NOSQL DATABASE MGT,Z6,15,23,65%,15.86,,3.73,3.87,,4.00,2.93,3.87,,,3.60,3.53,,,3.21,3.20,,,,,,,,
Summer,2017,JOSEPH MAYES,ISM,95749,CRYPTOGRAPHY,Z6,4,14,29%,8.75,,4.25,4.00,,4.25,3.75,4.50,,,4.00,5.00,,,4.00,4.25,,,,,,,,
Summer,2017,RIAZ ESMAIL ZADEH,ISM,95760,DCSN MKG UNCERTAINTY,K6,10,16,63%,9.67,,4.50,4.20,,4.40,4.10,4.20,,,4.30,4.70,,,4.30,4.20,,,,,,,,
Summer,2017,DON TAYLOR,ISM,95760,DCSN MKG UNCERTAINTY,Z6,15,32,47%,12.64,,3.87,4.00,,4.00,3.71,3.87,,,4.14,4.47,,,3.93,3.87,,,,,,,,
Summer,2017,BRAD MYERS,ISM,95763,INTRO HCI FOR TCH EX,Z5,5,13,38%,13.00,,4.20,3.80,,4.00,3.80,3.80,,,3.80,3.80,,,3.80,3.80,,,,,,,,
Summer,2017,DON TAYLOR,ISM,95796,STATS FOR IT MANAGER,A5,31,41,76%,11.62,,3.26,2.94,,3.00,2.84,2.84,,,2.87,4.32,,,2.65,2.65,,,,,,,,
Summer,2017,DON TAYLOR,ISM,95796,STATS FOR IT MANAGER,B5,36,45,80%,11.91,,3.53,3.36,,3.23,3.06,3.42,,,2.86,4.06,,,3.00,3.28,,,,,,,,
Summer,2017,ROBERT BRICHACEK,ISM,95797,DATA WAREHOUSING,K6,19,27,70%,12.40,,3.47,3.68,,3.67,3.42,3.47,,,3.42,4.00,,,3.26,3.37,,,,,,,,
Summer,2017,ROBERT BRICHACEK,ISM,95797,DATA WAREHOUSING,Z5,25,37,68%,9.67,,3.84,3.68,,3.96,3.88,3.96,,,3.92,4.24,,,3.72,3.56,,,,,,,,
Summer,2017,STACEY SABO,ISM,95807,OBJCT-ORNTD PROG MGR,Z,9,15,60%,12.78,,4.11,4.22,,4.11,4.00,4.11,,,4.00,4.22,,,4.11,3.89,,,,,,,,
Summer,2017,SUMMER FOWLER,ISM,95808,IT PROJECT MANAGEMNT,A5,12,13,92%,9.08,,4.75,4.50,,4.58,4.08,4.83,,,4.58,4.75,,,4.33,4.25,,,,,,,,
Summer,2017,DON TAYLOR,ISM,95868,EXPG VISUALZG DATA,Z5,10,20,50%,11.50,,3.80,3.80,,3.70,3.40,3.60,,,3.90,4.00,,,3.50,3.30,,,,,,,,
Summer,2017,MURLIKRISHNA VISWANATHAN,ISM,95869,BIG DATA LG SC CMPTG,K5,12,16,75%,13.30,,3.75,3.92,,4.08,4.00,4.00,,,3.92,4.50,,,3.67,3.58,,,,,,,,
Summer,2017,PAWAN KHERA,ISM,95872,ART & SCI BUS ANALY,Z6,16,32,50%,11.69,,3.25,2.94,,2.93,2.81,3.31,,,3.13,4.00,,,3.20,3.13,,,,,,,,
Summer,2017,JOSEPH BALESTREIRE,PMP,91844,MNG CUSTOMER EXP,A,5,9,56%,8.00,,4.80,4.60,,4.20,4.20,4.80,,,4.60,4.60,,,4.40,4.20,,,,,,,,
Summer,2017,TIONG LIM,PMP,91855,FINANCIAL MANAGEMENT,K,8,10,80%,9.71,,5.00,4.75,,5.00,5.00,4.88,,,4.88,4.88,,,5.00,5.00,,,,,,,,
Summer,2017,LOLA MASON,PMP,91869,CONFLICT RESOLUTION,Z6,10,16,63%,5.90,,4.40,3.40,,4.00,4.20,4.60,,,4.20,4.67,,,3.90,3.60,,,,,,,,
Summer,2017,ROBERT JANEDA,PMP,91879,ORGANZTL GRWTH HM CP,A5,3,8,38%,5.00,,4.67,4.00,,4.33,4.00,4.67,,,4.33,5.00,,,4.33,4.33,,,,,,,,
Summer,2017,TIMOTHY OLOUGHLIN,PPP,90706,POLICY ANALYSIS II,K,4,13,31%,8.75,,4.50,4.50,,4.50,4.67,5.00,,,4.00,5.00,,,4.50,4.50,,,,,,,,
Summer,2017,BETH WALTER,PPP,90718,STRTGC PRSNTN SKILLS,A5,11,13,85%,9.36,,4.82,4.55,,4.45,4.64,4.55,,,4.27,4.82,,,4.55,4.18,,,,,,,,
Summer,2017,TIONG LIM,PPP,90738,APP ECONMC ANALYS II,K,5,11,45%,13.60,,4.00,3.80,,3.80,3.60,3.80,,,3.80,3.80,,,3.80,3.80,,,,,,,,
Summer,2017,KATHLEEN SMITH,PPP,90744,FIN ANALY NON PROFIT,A5,3,6,50%,5.00,,3.67,3.67,,3.67,4.00,4.67,,,4.67,4.33,,,4.33,4.00,,,,,,,,
Summer,2017,TIONG LIM,PPP,90747,COST BENEFIT ANLYSIS,K5,7,10,70%,10.71,,4.29,4.14,,4.14,3.86,4.14,,,4.00,4.29,,,4.00,3.50,,,,,,,,
Summer,2017,GARY FRANKO,PPP,90801,DESKTOP PUBLISHING,A6,6,8,75%,6.50,,4.67,4.83,,4.83,4.50,4.33,,,4.67,4.83,,,4.50,4.83,,,,,,,,
Summer,2017,SILVIA BORZUTZKY,PPP,90936,INDEPENDENT STUDY,A,1,2,50%,27.00,,5.00,5.00,,5.00,5.00,5.00,,,5.00,5.00,,,5.00,5.00,,,,,,,,
Summer,2017,TIMOTHY OLOUGHLIN,PROJECT,90740,SYSTEMS SYNTHESIS,K,4,5,80%,,4.75,,,5.00,,,,4.00,3.67,,,5.00,4.75,,,4.75,3.00,5.00,5.00,4.75,5.00,4.50,5.00
Summer,2017,TIMOTHY OLOUGHLIN,PROJECT,90740,SYSTEMS SYNTHESIS,L,1,5,20%,,4.00,,,4.00,,,,3.00,5.00,,,5.00,3.00,,,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,KATHRYN DUGAN,PROJECT,91826,MPM PROJECT COURSE,A,3,9,33%,,3.67,,,4.00,,,,4.00,3.00,,,3.33,3.67,,,4.33,4.00,4.33,3.67,2.50,4.00,4.33,3.00
Summer,2017,RIAZ ESMAIL ZADEH,PROJECT,95720,INFO SYSTEMS PROJECT,K,8,10,80%,,4.75,,,4.13,,,,4.38,4.20,,,4.63,4.88,,,4.13,3.25,4.50,4.38,4.38,4.38,4.38,4.57
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,,,,,,,,,,,,,,
,2017,,,,Year of 2017,,4275,5743,74%,9.35,4.35,4.24,4.28,4.05,4.36,4.26,4.53,4.2,4.08,,,,,,,,,,,,,,
Spring,2017,LEONARD CARIC,CRM,93711,ENTRE CREATV ENTRPR,A3,25,34,74%,5.24,4.12,3.32,3.36,3.04,3.80,3.40,4.52,3.36,3.17,,,,,,,,,,,,,,
Spring,2017,LYNNE PASTOR,CRM,93725,FIN STATEMENT LIT,A3,22,27,81%,6.50,3.86,3.73,3.73,3.50,3.86,3.50,3.91,3.45,3.45,,,,,,,,,,,,,,
Spring,2017,LYNNE PASTOR,CRM,93726,FDMTLS OF FINANCE,A4,23,27,85%,6.09,4.22,4.17,4.04,3.87,4.27,3.96,4.30,3.96,3.74,,,,,,,,,,,,,,
Spring,2017,KEITH EICH,CRM,93751,ENTERTAIN ECON,A4,29,29,100%,8.24,4.17,3.59,3.72,3.45,4.21,3.79,4.52,3.61,3.62,,,,,,,,,,,,,,
Spring,2017,RANDY KOVITZ,CRM,93764,THE POST APOCALYPSE,A,2,2,100%,5.00,4.00,3.50,3.50,3.00,3.00,3.00,3.50,3.50,3.50,,,,,,,,,,,,,,
Spring,2017,SARAH TAMBUCCI,CRM,93804,ARTS EDUCATION,A4,9,12,75%,8.13,4.67,3.67,4.33,4.11,4.67,4.33,4.56,4.33,4.22,,,,,,,,,,,,,,
Spring,2017,ANNE FULLENKAMP,CRM,93807,MUSEUM OPERATIONS,A3,13,18,72%,5.25,4.31,3.46,4.15,3.38,4.00,4.08,4.69,3.85,3.38,,,,,,,,,,,,,,
Spring,2017,JANERA SOLOMON,CRM,93812,PRES PERF ART & FEST,A3,11,17,65%,5.00,3.73,3.00,3.10,3.09,3.82,3.45,4.27,3.36,3.27,,,,,,,,,,,,,,
Spring,2017,BRETT CRAWFORD,CRM,93821,EXT REL: ARTS MKT PR,A3,24,30,80%,7.50,4.67,3.96,4.25,4.33,4.71,4.46,4.75,4.38,4.13,,,,,,,,,,,,,,
Spring,2017,MARY NAVARRO,CRM,93826,EXT REL: FUND & PHI,A3,21,29,72%,6.71,4.67,4.43,4.48,4.52,4.76,4.71,4.81,4.57,4.48,,,,,,,,,,,,,,
Spring,2017,JERRY COLTIN,CRM,93827,EXT REL: SPN & GRN,A4,14,16,88%,8.93,3.43,3.36,3.50,2.86,3.64,3.50,3.64,3.00,2.93,,,,,,,,,,,,,,
Spring,2017,JERRY COLTIN,CRM,93827,EXT REL: SPN & GRN,B4,10,13,77%,8.60,4.00,3.70,3.90,4.00,4.40,4.20,4.00,3.60,3.80,,,,,,,,,,,,,,
Spring,2017,MATTHEW DOOLEY,CRM,93843,SPC TPC: MAN ART SOC,A3,12,13,92%,3.36,4.42,4.00,3.92,3.92,4.17,4.08,4.83,4.00,3.67,,,,,,,,,,,,,,
Spring,2017,ELIZABETH BERLIN,CRM,93844,LIVE MUS TOUR REV ST,A3,9,10,90%,5.33,4.22,3.33,3.78,3.44,4.22,3.89,4.78,3.78,3.89,,,,,,,,,,,,,,
Spring,2017,DAVID PANKRATZ,CRM,93846,CULTURAL PLCY ADVCY,A4,12,15,80%,5.25,3.08,1.92,2.25,2.58,3.42,2.50,3.50,2.50,2.58,,,,,,,,,,,,,,
Spring,2017,STEPHEN SCHMID,HC,94700,ORGNZTNL DSGN & IMPL,K4,10,16,63%,6.86,4.70,4.70,4.70,4.50,4.70,4.80,4.90,4.70,4.60,,,,,,,,,,,,,,
Spring,2017,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,A3,19,24,79%,8.05,4.42,4.58,4.58,4.21,4.42,4.32,4.53,4.42,3.79,,,,,,,,,,,,,,
Spring,2017,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,B3,20,25,80%,3.95,4.30,4.20,4.35,4.10,4.20,4.25,4.25,4.10,3.65,,,,,,,,,,,,,,
Spring,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,C3,20,22,91%,6.74,4.70,4.55,4.55,4.55,4.65,4.65,4.75,4.50,4.50,,,,,,,,,,,,,,
Spring,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,D4,10,15,67%,7.67,4.00,4.30,4.20,4.20,4.20,4.11,4.40,4.10,3.80,,,,,,,,,,,,,,
Spring,2017,STACY ROSENBERG,HC,94702,PROFESSIONAL WRITING,E4,22,23,96%,7.14,4.64,4.50,4.45,4.41,4.55,4.41,4.55,4.45,4.36,,,,,,,,,,,,,,
Spring,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,F4,16,22,73%,6.60,4.25,4.31,4.44,4.50,4.31,4.25,4.44,4.31,3.94,,,,,,,,,,,,,,
Spring,2017,KIM HYATT,HC,94702,PROFESSIONAL WRITING,Z4,14,20,70%,6.62,4.50,4.14,4.29,4.14,4.21,4.00,4.43,4.14,4.00,,,,,,,,,,,,,,
Spring,2017,REMA PADMAN,HC,94706,HEALTHCARE INF SYSTM,A,17,22,77%,11.00,4.24,3.53,3.88,3.35,4.24,4.12,4.59,3.88,3.59,,,,,,,,,,,,,,
Spring,2017,KARYN MOORE,HC,94774,BUSINESS PROCESS MDL,A3,19,29,66%,11.39,4.84,4.84,4.84,4.84,4.89,4.84,5.00,4.89,4.63,,,,,,,,,,,,,,
Spring,2017,KARYN MOORE,HC,94774,BUSINESS PROCESS MDL,Z3,18,30,60%,10.67,4.28,4.06,4.11,3.83,4.17,4.06,4.22,4.17,4.00,,,,,,,,,,,,,,
Spring,2017,JARED SIMMER,HC,94800,NEGOTIATION,A3,24,30,80%,6.38,4.50,4.29,4.75,4.13,4.83,4.46,4.43,4.50,4.42,,,,,,,,,,,,,,
Spring,2017,JARED SIMMER,HC,94800,NEGOTIATION,B4,20,31,65%,7.42,4.60,4.20,4.60,4.15,4.90,4.65,4.50,4.50,4.50,,,,,,,,,,,,,,
Spring,2017,BRENDA PEYSER,HC,94801,ACTING FOR MANGEMNT,A3,13,13,100%,7.38,4.62,4.69,4.69,4.92,4.69,4.62,4.85,4.69,4.77,,,,,,,,,,,,,,
Spring,2017,BRENDA PEYSER,HC,94801,ACTING FOR MANGEMNT,B3,16,16,100%,7.31,4.88,4.88,4.88,4.88,4.63,4.81,5.00,4.88,4.81,,,,,,,,,,,,,,
Spring,2017,BRENDA PEYSER,HC,94801,ACTING FOR MANGEMNT,C4,15,16,94%,5.21,4.80,4.60,4.53,4.73,4.53,4.27,4.80,4.73,4.73,,,,,,,,,,,,,,
Spring,2017,ZAN DODSON,HC,94802,GEOGRPHC INFO SYSTEM,A,30,33,91%,9.75,4.13,4.00,4.00,3.77,4.27,4.03,4.48,3.55,3.79,,,,,,,,,,,,,,
Spring,2017,STEFAN LABASH,HC,94803,CONSULTNG LAB,A4,5,11,45%,7.40,4.60,4.40,4.40,4.40,4.80,4.80,4.80,4.20,4.00,,,,,,,,,,,,,,
Spring,2017,VERONICA MAROTTA,HC,94806,PRIVACY DIGITAL AGE,Z4,22,33,67%,11.38,3.86,4.09,4.09,3.50,4.18,4.18,4.27,3.82,3.59,,,,,,,,,,,,,,
Spring,2017,CHRIS BRUSSALIS,HC,94808,MANAGEMENT CONSLTG,A,16,17,94%,9.31,4.75,4.50,4.63,4.44,4.88,4.69,4.75,4.69,4.50,,,,,,,,,,,,,,
Spring,2017,DAVID LASSMAN,HC,94811,STRATEGY DEVELOPMENT,A3,36,37,97%,7.83,4.97,4.50,4.69,4.06,4.69,4.69,4.86,4.92,4.67,,,,,,,,,,,,,,
Spring,2017,TIMOTHY ZAK,HC,94811,STRATEGY DEVELOPMENT,B4,18,28,64%,10.17,4.56,4.61,4.72,3.89,4.67,4.72,4.56,4.61,4.61,,,,,,,,,,,,,,
Spring,2017,LAURA SYNNOTT,HC,94813,PROJECT MANAGEMENT,A3,27,28,96%,9.11,4.81,4.96,4.96,4.77,4.89,4.85,4.81,4.81,4.81,,,,,,,,,,,,,,
Spring,2017,LAURA SYNNOTT,HC,94813,PROJECT MANAGEMENT,B3,19,20,95%,9.11,4.32,4.68,4.68,4.16,4.58,4.58,4.58,4.42,4.42,,,,,,,,,,,,,,
Spring,2017,ARI LIGHTMAN,HC,94823,MEASURING SOCIAL,A,30,37,81%,8.30,4.60,4.70,4.53,4.41,4.50,4.63,4.83,4.60,4.28,,,,,,,,,,,,,,
Spring,2017,MARY SLAUGHTER,HC,94827,SAS FOR PUBLIC POLCY,A4,27,36,75%,8.52,3.85,4.26,4.22,3.70,3.81,4.11,4.41,3.67,3.89,,,,,,,,,,,,,,
Spring,2017,MARY SLAUGHTER,HC,94827,SAS FOR PUBLIC POLCY,B4,12,16,75%,8.75,3.50,3.58,3.67,3.58,3.67,3.67,4.33,3.42,3.67,,,,,,,,,,,,,,
Spring,2017,CLAUDE SETODJI,HC,94830,ANALYSIS SURVEY DATA,A4,20,26,77%,8.30,3.95,3.50,3.40,3.55,3.75,3.45,4.35,3.35,3.30,,,,,,,,,,,,,,
Spring,2017,PATRICK MAHER,HC,94832,BUSN INTLG DTA MNG,A4,20,29,69%,8.15,3.90,3.65,3.65,3.55,3.55,3.75,4.25,3.75,3.75,,,,,,,,,,,,,,
Spring,2017,EDSON SEVERNINI,HC,94834,APPL ECONOMETRICS I,A3,28,33,85%,8.78,4.57,4.48,4.50,4.00,4.59,4.39,4.68,4.50,4.21,,,,,,,,,,,,,,
Spring,2017,EDSON SEVERNINI,HC,94835,APPL ECONOMETRICS II,A3,18,23,78%,11.06,4.72,4.44,4.50,4.00,4.50,4.22,4.83,4.39,4.22,,,,,,,,,,,,,,
Spring,2017,EDSON SEVERNINI,HC,94835,APPL ECONOMETRICS II,B4,29,34,85%,9.29,4.57,4.46,4.43,3.82,4.64,4.54,4.79,4.41,4.29,,,,,,,,,,,,,,
Spring,2017,ZAN DODSON,HC,94838,INTRO TO RASTER GIS,A4,25,29,86%,6.00,3.64,3.20,3.32,2.84,3.96,3.64,4.24,3.24,2.88,,,,,,,,,,,,,,
Spring,2017,SEAN AMMIRATI,HC,94840,LEAN ENTRPRNSHP,A3,23,38,61%,5.78,4.65,4.64,4.65,3.95,4.83,4.87,4.83,4.83,4.83,,,,,,,,,,,,,,
Spring,2017,OLEXANDRA CHOULDECHOVA,HC,94842,PROGRMG R ANALYTICS,A3,35,42,83%,12.00,4.34,4.49,4.43,4.14,4.37,4.31,4.63,4.31,4.17,,,,,,,,,,,,,,
Spring,2017,BRETT CRAWFORD,HC,94843,RSH SM ARTS MNG TCH,A,6,8,75%,4.00,4.83,4.17,4.50,4.83,4.67,4.67,4.67,4.50,4.67,,,,,,,,,,,,,,
Spring,2017,JIMMY WILLIAMS,HC,94855,INNOV MGT IN PRAC,A,1,2,50%,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,,,,,,,,,,,
Spring,2017,STEFAN LABASH,HC,94858,COMM COMPLXTY,A3,5,12,42%,5.75,4.40,3.60,4.00,4.40,4.80,4.00,4.40,4.20,3.80,,,,,,,,,,,,,,
Spring,2017,VIBHANSHU ABHISHEK,HC,94865,DIGITAL MKTG ALYTCS,A3,28,37,76%,10.32,4.43,4.36,4.46,4.18,4.57,4.43,4.57,4.21,4.32,,,,,,,,,,,,,,
Spring,2017,VIBHANSHU ABHISHEK,HC,94865,DIGITAL MKTG ALYTCS,B3,17,24,71%,7.00,4.47,4.12,4.24,3.94,4.35,4.00,4.59,4.29,4.12,,,,,,,,,,,,,,
Spring,2017,EDUARDO MIRANDA,HC,94866,DESIGN THINKING,A4,12,15,80%,6.00,3.75,2.33,2.50,3.17,3.67,3.92,4.36,2.83,2.67,,,,,,,,,,,,,,
Spring,2017,ALEXANDRE JACQUILLAT,HC,94867,DEC ANA BUS POL,A,16,16,100%,10.25,4.94,4.81,4.75,4.88,4.88,4.75,4.94,4.88,4.75,,,,,,,,,,,,,,
Spring,2017,DAVID STOESZ,HC,94868,THE INVESTMENT STATE,A3,1,3,33%,8.00,5.00,2.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2017,DAVID STOESZ,HC,94868,THE INVESTMENT STATE,K3,3,5,60%,6.00,4.67,3.67,4.33,5.00,4.67,4.67,5.00,4.67,4.67,,,,,,,,,,,,,,
Spring,2017,PAUL CHAPMAN,HC,94869,ECON DIGITAL AGE,A,1,3,33%,5.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,,,,,,,,,,,,,,
Spring,2017,PAUL CHAPMAN,HC,94869,ECON DIGITAL AGE,K,2,3,67%,16.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,5.00,,,,,,,,,,,,,,
